colsample_bytree,combo,learning_rate,max_depth,min_samples_leaf,model_a_epochs,n_estimators_rf,n_estimators_xgb,rolling_windows,subsample,test_metrics_by_conference_E_ndcg,test_metrics_by_conference_E_spearman,test_metrics_by_conference_W_ndcg,test_metrics_by_conference_W_spearman,test_metrics_ensemble_mrr_top2,test_metrics_ensemble_mrr_top4,test_metrics_ensemble_ndcg,test_metrics_ensemble_ndcg10,test_metrics_ensemble_ndcg_at_12,test_metrics_ensemble_ndcg_at_16,test_metrics_ensemble_ndcg_at_20,test_metrics_ensemble_ndcg_at_4,test_metrics_ensemble_playoff_brier_championship_odds,test_metrics_ensemble_playoff_ndcg10_pred_vs_playoff_final_results,test_metrics_ensemble_playoff_ndcg_at_4_final_four,test_metrics_ensemble_playoff_rank_mae_eos_standings_vs_playoff_final_results,test_metrics_ensemble_playoff_rank_mae_pred_vs_playoff_final_results,test_metrics_ensemble_playoff_rank_rmse_eos_standings_vs_playoff_final_results,test_metrics_ensemble_playoff_rank_rmse_pred_vs_playoff_final_results,test_metrics_ensemble_playoff_spearman_pred_vs_playoff_final_results,test_metrics_ensemble_rank_mae_eos_standings_vs_playoff_final_results,test_metrics_ensemble_rank_mae_pred_vs_playoff_final_results,test_metrics_ensemble_rank_rmse_eos_standings_vs_playoff_final_results,test_metrics_ensemble_rank_rmse_pred_vs_playoff_final_results,test_metrics_ensemble_roc_auc_upset,test_metrics_ensemble_spearman,test_metrics_model_a_mrr_top2,test_metrics_model_a_mrr_top4,test_metrics_model_a_ndcg,test_metrics_model_a_ndcg10,test_metrics_model_a_ndcg_at_12,test_metrics_model_a_ndcg_at_16,test_metrics_model_a_ndcg_at_20,test_metrics_model_a_ndcg_at_4,test_metrics_model_a_roc_auc_upset,test_metrics_model_a_spearman,test_metrics_model_b_mrr_top2,test_metrics_model_b_mrr_top4,test_metrics_model_b_ndcg,test_metrics_model_b_ndcg10,test_metrics_model_b_ndcg_at_12,test_metrics_model_b_ndcg_at_16,test_metrics_model_b_ndcg_at_20,test_metrics_model_b_ndcg_at_4,test_metrics_model_b_roc_auc_upset,test_metrics_model_b_spearman,test_metrics_model_c_mrr_top2,test_metrics_model_c_mrr_top4,test_metrics_model_c_ndcg,test_metrics_model_c_ndcg10,test_metrics_model_c_ndcg_at_12,test_metrics_model_c_ndcg_at_16,test_metrics_model_c_ndcg_at_20,test_metrics_model_c_ndcg_at_4,test_metrics_model_c_roc_auc_upset,test_metrics_model_c_spearman,value
0.7,0,0.07395568354439076,5,5,20,172,251,"(15, 30)",0.8,0.26959322289269383,0.30357142857142855,0.7742974350173418,0.7178571428571427,0.5,0.5,0.48962038442700134,0.48962038442700134,0.5347917464013755,0.536014400323418,0.538405738591261,0.46444719014824637,0.03222232684493065,0.4896097719868788,0.46444719014824637,3.1333333333333333,6.4666666984558105,4.449719092257398,8.406346321105957,0.5248053392658508,3.1333333333333333,6.4666666984558105,4.449719092257398,8.406346321105957,0.7285067873303168,0.5283648498331479,0.5,0.5,0.48962038442700134,0.48962038442700134,0.5347917464013755,0.536014400323418,0.538405738591261,0.46444719014824637,0.7285067873303168,0.5283648498331479,0.2,0.2,0.16744612903542058,0.16744612903542058,0.21137678289118866,0.2321841751638174,0.3824775928984116,0.04166423104576856,0.8214285714285714,0.560845383759733,0.0625,0.2,0.05124995751403931,0.05124995751403931,0.056899138174850025,0.1769467286075223,0.17934460063934335,0.00711064040423231,0.8214285714285714,0.307230255839822,0.536014400323418
0.7,1,0.06012174283485401,5,5,23,182,224,"(15, 30)",0.8,0.27745335871982874,0.3,0.7519554106097529,0.6607142857142856,0.5,0.5,0.48336155701247246,0.48336155701247246,0.5274746587824753,0.5274564467518009,0.5310239992930774,0.4643944167678145,0.03222232684493065,0.48334819032655785,0.4643812234227066,3.1333333333333333,6.866666793823242,4.449719092257398,8.85061264038086,0.49499443826473855,3.1333333333333333,6.866666793823242,4.449719092257398,8.85061264038086,0.8,0.4771968854282535,0.5,0.5,0.48336155701247246,0.48336155701247246,0.5274746587824753,0.5274564467518009,0.5310239992930774,0.4643944167678145,0.8,0.4771968854282535,0.16666666666666666,0.16666666666666666,0.17966604540235473,0.17966604540235473,0.22354925139919887,0.22362400097113402,0.22363041754854163,0.04029517653159447,0.7737556561085973,0.5839822024471636,0.0625,0.2,0.05124995751403931,0.05124995751403931,0.056899138174850025,0.1769467286075223,0.17934445367388585,0.00711064040423231,0.8258928571428571,0.30189098998887653,0.5274564467518009
0.7,2,0.0637176195421061,5,5,22,167,228,"(15, 30)",0.8,0.24640794000116126,0.25357142857142856,0.7524991469189859,0.6642857142857141,0.5,0.5,0.5288437605747757,0.5288437605747757,0.5290801838380434,0.5302831395485547,0.5326335952934342,0.4643519436832566,0.03222232684493065,0.5288288693146065,0.46433662668392073,3.1333333333333333,6.933333396911621,4.449719092257398,8.671792984008789,0.5052280311457175,3.1333333333333333,6.933333396911621,4.449719092257398,8.671792984008789,0.7633928571428571,0.4981090100111235,0.5,0.5,0.5288365052250812,0.5288365052250812,0.5290729303940913,0.5302758866609849,0.5326263424377642,0.4643519436832566,0.7633928571428571,0.49276974416017794,0.2,0.2,0.21306130463124376,0.21306130463124376,0.2350368965705642,0.23507017521930237,0.38535905663647424,0.04029517653159447,0.7963800904977375,0.593325917686318,0.06666666666666667,0.2,0.05124995751403931,0.05124995751403931,0.056899138174850025,0.17781540372208415,0.18021312496782235,0.00711064040423231,0.8258928571428571,0.30233592880978866,0.5302831395485547
0.7,3,0.06453767498881595,5,5,23,165,211,"(15, 30)",0.8,0.2637442104340539,0.19999999999999998,0.7737754720340771,0.7499999999999999,0.5,0.5,0.4839017626002374,0.4839017626002374,0.5294173198862445,0.5306404502212977,0.5329534253706528,0.46437685999867345,0.03222232684493065,0.48388969374383456,0.4643768342304213,3.1333333333333333,6.666666507720947,4.449719092257398,8.755949974060059,0.4776418242491657,3.1333333333333333,6.666666507720947,4.449719092257398,8.755949974060059,0.7455357142857143,0.4883203559510568,0.5,0.5,0.4839017626002374,0.4839017626002374,0.5294173198862445,0.5306404502212977,0.5329533455506151,0.46437685999867345,0.75,0.4838709677419355,0.2,0.2,0.21306130463124376,0.21306130463124376,0.2350368965705642,0.23506987241674346,0.23507427261420852,0.04029517653159447,0.7731481481481481,0.5661846496106785,0.06666666666666667,0.2,0.05124995751403931,0.05124995751403931,0.056899138174850025,0.17781540372208415,0.18021312496782235,0.00711064040423231,0.8258928571428571,0.30233592880978866,0.5306404502212977
0.7,4,0.08678682331812838,5,5,20,162,239,"(15, 30)",0.8,0.26433766589573604,0.2964285714285714,0.7737357849437491,0.7392857142857142,0.5,0.5,0.4896604076422054,0.4896604076422054,0.5337718549108942,0.5337531340127535,0.5373614171974835,0.4643519436832566,0.03222232684493065,0.48964498005233037,0.46433662668392073,3.1333333333333333,6.5333333015441895,4.449719092257398,8.524474143981934,0.5141268075639599,3.1333333333333333,6.5333333015441895,4.449719092257398,8.524474143981934,0.7366071428571428,0.5150166852057843,0.5,0.5,0.4896604076422054,0.4896604076422054,0.5337718549108942,0.5337531340127535,0.5373614171974835,0.4643519436832566,0.7410714285714286,0.5065628476084539,0.2,0.2,0.2143905751708314,0.2143905751708314,0.21442274026319205,0.39414923743790764,0.39415290325709657,0.04166423104576856,0.7828054298642534,0.6164627363737486,0.06666666666666667,0.2,0.05124995751403931,0.05124995751403931,0.056899138174850025,0.17781540372208415,0.18021312496782235,0.00711064040423231,0.8258928571428571,0.30233592880978866,0.5337531340127535
0.7,5,0.06816929579435309,5,5,24,156,242,"(15, 30)",0.8,0.2805032536048559,0.3214285714285714,0.7524991469189859,0.6642857142857141,0.5,0.5,0.48431537919279083,0.48431537919279083,0.5280750169412447,0.5292982244039635,0.5316895922110343,0.4645175546554888,0.03222232684493065,0.48430544710780443,0.4645175546554888,3.1333333333333333,6.733333110809326,4.449719092257398,8.57515811920166,0.5199110122358176,3.1333333333333333,6.733333110809326,4.449719092257398,8.57515811920166,0.75,0.5092324805339266,0.5,0.5,0.4839492526363928,0.4839492526363928,0.5280622000380452,0.5292854084838967,0.5316767763473348,0.4645175546554888,0.7544642857142857,0.5052280311457175,0.2,0.2,0.16619710541230373,0.16619710541230373,0.16616451269334617,0.22908117952134538,0.3769659163854513,0.04029517653159447,0.7963800904977375,0.5733036707452726,0.06666666666666667,0.2,0.05124270050332162,0.05124270050332162,0.05689188307031086,0.17780814917405477,0.18020587045170006,0.00711064040423231,0.8258928571428571,0.29521690767519465,0.5292982244039635
0.7,6,0.08169061973184416,5,5,22,191,226,"(15, 30)",0.8,0.2549930415845299,0.2678571428571428,0.7723194325143398,0.6464285714285712,0.5,0.5,0.48421969209078675,0.48421969209078675,0.5297351658671521,0.5297167804421052,0.5333205689647781,0.4644132116806,0.03222232684493065,0.48420762756055863,0.4644132116806,3.1333333333333333,7.133333206176758,4.449719092257398,8.921883583068848,0.4883203559510568,3.1333333333333333,7.133333206176758,4.449719092257398,8.921883583068848,0.7767857142857143,0.4687430478309232,0.5,0.5,0.48421969209078675,0.48421969209078675,0.5297351658671521,0.5297167804421052,0.5333205689647781,0.4644132116806,0.7767857142857143,0.4687430478309232,0.16666666666666666,0.16666666666666666,0.20447327093225284,0.20447327093225284,0.20451875275378498,0.22484352826152418,0.38061027155638416,0.04166423104576856,0.8214285714285714,0.5915461624026696,0.07142857142857142,0.2,0.05124995751403931,0.05124995751403931,0.056899138174850025,0.18061907061753987,0.18301677953213064,0.00711064040423231,0.8169642857142857,0.3210233592880979,0.5297167804421052
0.7,7,0.05732894283493405,5,5,20,186,232,"(15, 30)",0.8,0.2556553842536018,0.35,0.7737754720340771,0.7214285714285712,0.5,0.5,0.48884700739145526,0.48884700739145526,0.5329586683136918,0.5341815270062041,0.5366175652449415,0.4643519436832566,0.03222232684493065,0.48883158064015075,0.46433662668392073,3.1333333333333333,6.599999904632568,4.449719092257398,8.358628273010254,0.521245828698554,3.1333333333333333,6.599999904632568,4.449719092257398,8.358628273010254,0.7410714285714286,0.5337041156840934,0.5,0.5,0.48884700739145526,0.48884700739145526,0.5329586683136918,0.5341815270062041,0.5365728733354296,0.4643519436832566,0.7455357142857143,0.5234705228031146,0.16666666666666666,0.16666666666666666,0.17966604540235473,0.17966604540235473,0.17975018645183327,0.22239766548879325,0.37530892803786203,0.04029517653159447,0.770334928229665,0.6129032258064516,0.0625,0.2,0.05124995751403931,0.05124995751403931,0.056899138174850025,0.1769467286075223,0.17934445367388585,0.00711064040423231,0.8258928571428571,0.30189098998887653,0.5341815270062041
0.7,8,0.06865288387590612,5,5,23,158,220,"(15, 30)",0.8,0.24218737023648784,0.20357142857142854,0.7723194325143398,0.6535714285714285,0.5,0.5,0.48605255122469226,0.48605255122469226,0.48630021433412707,0.530156338069313,0.5325431896873765,0.46413178800929983,0.03222232684493065,0.48604260571600433,0.4641317622410477,3.1333333333333333,7.0,4.449719092257398,9.033271789550781,0.46696329254727476,3.1333333333333333,7.0,4.449719092257398,9.033271789550781,0.7678571428571428,0.4553948832035596,0.5,0.5,0.48605255122469226,0.48605255122469226,0.48630021433412707,0.530156338069313,0.5325431896873765,0.46413178800929983,0.7678571428571428,0.4553948832035596,0.2,0.2,0.1661173256008038,0.1661173256008038,0.166162170491361,0.2296221400674144,0.3775023184673909,0.04029517653159447,0.8235294117647058,0.5506117908787541,0.06666666666666667,0.2,0.05124270050332162,0.05124270050332162,0.05689188307031086,0.17780814917405477,0.18020587045170006,0.00711064040423231,0.8258928571428571,0.29521690767519465,0.530156338069313
0.7,9,0.05967554332836882,5,5,24,153,252,"(15, 30)",0.8,0.2535134396955579,0.24642857142857136,0.7728975634578972,0.6714285714285713,0.5,0.5,0.48672894646456233,0.48672894646456233,0.5304879502481141,0.5317100033153427,0.5340559486332132,0.4643519436832566,0.03222232684493065,0.48671405708100207,0.46433662668392073,3.1333333333333333,6.933333396911621,4.449719092257398,8.767363548278809,0.4843159065628476,3.1333333333333333,6.933333396911621,4.449719092257398,8.767363548278809,0.7601809954751131,0.48698553948832035,0.5,0.5,0.48672894646456233,0.48672894646456233,0.5304879502481141,0.5317104462006155,0.5340563915165382,0.4643519436832566,0.755656108597285,0.4887652947719689,0.16666666666666666,0.16666666666666666,0.15623394579288472,0.15623394579288472,0.1788535233750328,0.22157210325794652,0.36945694260283746,0.04029517653159447,0.7592592592592593,0.5848720800889877,0.0625,0.2,0.05124270050332162,0.05124270050332162,0.05689188307031086,0.1769394740594929,0.17933719915776358,0.00711064040423231,0.8258928571428571,0.2947719688542826,0.5317100033153427
